Applicant_ID,Applicant_Name,Gender,University,Education_Level,CGPA,Experience_Years,Job_Applied,Company,Skills_Score,Interview_Score,Final_Decision,Selected
1,Paul Martin,Female,University of Adelaide,Bachelors,2.97,4,NLP Engineer (Natural Language Processing),NVIDIA,48,49,Rejected,0
2,Jacob Turner,Male,University College London,Bachelors,3.04,1,AI Product Manager,NVIDIA,49,60,Selected,1
3,Ryan Clark,Female,University of Michigan,Masters,3.3,1,Reinforcement Learning Researcher,NVIDIA,48,59,Selected,1
4,Ella Ward,Male,Johns Hopkins University,Masters,2.82,0,Reinforcement Learning Researcher,NVIDIA,88,56,Selected,1
5,Jordan Bell,Female,KTH Royal Institute of Technology,Masters,3.26,3,AI Product Manager,NVIDIA,84,58,Rejected,0
6,Sarah Thompson,Male,Simon Fraser University,Masters,2.81,4,Data Architect (AI Infrastructure),NVIDIA,95,56,Rejected,0
7,Lucas Roberts,Male,Tsinghua University,Masters,3.06,1,Data Architect (AI Infrastructure),NVIDIA,83,49,Selected,1
8,Elizabeth Young,Female,University of Buenos Aires,Masters,3.94,4,Data Architect (AI Infrastructure),NVIDIA,49,93,Rejected,0
9,Audrey Long,Male,Northwestern University,Bachelors,2.42,5,Deep Learning Specialist,NVIDIA,50,62,Selected,1
10,Audrey Long,Female,University of Warwick,Bachelors,3.99,3,AI Ethics & Compliance Officer,NVIDIA,73,63,Rejected,0
11,Brian Robinson,Male,University of Leeds,Masters,2.5,3,Data Architect (AI Infrastructure),NVIDIA,48,58,Rejected,0
12,Henry Phillips,Female,University of Texas at Austin,Masters,3.06,2,MLOps Engineer,NVIDIA,80,62,Rejected,0
13,David Johnson,Female,Ludwig Maximilian University of Munich,Bachelors,2.44,2,Deep Learning Specialist,NVIDIA,54,59,Rejected,0
14,Brian Robinson,Male,Stanford University,Masters,3.01,5,Reinforcement Learning Researcher,NVIDIA,68,84,Selected,1
15,Christopher Moore,Male,Hong Kong University of Science and Technology,Bachelors,2.98,1,Data Architect (AI Infrastructure),NVIDIA,51,75,Rejected,0
16,Eric Walker,Male,University of North Carolina at Chapel Hill,Masters,2.88,4,Machine Learning Engineer,NVIDIA,48,51,Selected,1
17,Natalie Hill,Female,University of California San Diego,Masters,3.34,0,AI Research Scientist,NVIDIA,54,85,Selected,1
18,Megan Lopez,Female,University of Chicago,Masters,3.12,5,Computer Vision Engineer,NVIDIA,64,50,Selected,1
19,Grace Cooper,Male,University of Michigan,Masters,2.65,5,AI Research Scientist,NVIDIA,78,68,Selected,1
